Connecticut December Precipitation
Units: Inches
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
191602,5.27,1.99
191603,3.65,-0.54
191604,3.13,-1.00
191605,4.01,0.08
191606,4.47,0.77
191607,7.10,3.19
191608,2.49,-1.74
191609,3.55,-0.44
191610,1.71,-1.96
191611,3.10,-1.02
191612,3.27,-0.73
191701,3.18,-0.55
191702,2.45,-0.83
191703,5.13,0.94
191704,2.36,-1.77
191705,3.73,-0.20
191706,4.16,0.46
191707,3.01,-0.90
191708,5.10,0.87
191709,1.83,-2.16
191710,6.07,2.40
191711,0.80,-3.32
191712,2.83,-1.17
191801,3.64,-0.09
191802,3.05,-0.23
191803,2.29,-1.90
191804,4.21,0.08
191805,3.64,-0.29
191806,4.09,0.39
191807,3.70,-0.21
191808,2.98,-1.25
191809,6.83,2.84
191810,1.39,-2.28
191811,2.99,-1.13
191812,3.95,-0.05
191901,3.72,-0.01
191902,3.14,-0.14
191903,6.70,2.51
191904,3.74,-0.39
191905,5.56,1.63
191906,2.32,-1.38
191907,5.01,1.10
191908,5.07,0.84
191909,5.37,1.38
191910,2.93,-0.74
191911,5.21,1.09
191912,2.82,-1.18
192001,3.18,-0.55
192002,5.00,1.72
192003,4.28,0.09
192004,5.66,1.53
192005,3.86,-0.07
192006,6.74,3.04
192007,5.00,1.09
192008,4.35,0.12
192009,5.59,1.60
192010,2.01,-1.66
192011,5.68,1.56
192012,6.08,2.08
192101,2.98,-0.75
192102,3.25,-0.03
192103,3.81,-0.38
192104,5.05,0.92
192105,3.38,-0.55
192106,3.13,-0.57
192107,5.13,1.22
192108,3.00,-1.23
192109,3.02,-0.97
192110,1.45,-2.22
192111,6.13,2.01
192112,2.73,-1.27
192201,1.97,-1.76
192202,2.54,-0.74
192203,5.57,1.38
192204,2.58,-1.55
192205,5.53,1.60
192206,6.78,3.08
192207,5.18,1.27
192208,5.61,1.38
192209,2.34,-1.65
192210,2.72,-0.95
192211,1.29,-2.83
192212,3.42,-0.58
192301,6.87,3.14
192302,2.06,-1.22
192303,3.72,-0.47
192304,4.83,0.70
192305,2.17,-1.76
192306,4.15,0.45
192307,3.07,-0.84
192308,2.28,-1.95
192309,3.26,-0.73
192310,6.26,2.59
192311,4.04,-0.08
192312,5.19,1.19
192401,4.32,0.59
192402,2.87,-0.41
192403,1.56,-2.63
192404,6.43,2.30
192405,5.08,1.15
192406,2.04,-1.66
192407,1.60,-2.31
192408,5.08,0.85
192409,5.24,1.25
192410,0.55,-3.12
192411,2.72,-1.40
192412,2.33,-1.67
192501,3.47,-0.26
192502,3.31,0.03
192503,4.76,0.57
192504,2.55,-1.58
192505,3.51,-0.42
192506,3.31,-0.39
192507,5.49,1.58
192508,2.39,-1.84
192509,3.48,-0.51
192510,4.49,0.82
192511,3.62,-0.50
192512,3.18,-0.82
192601,2.66,-1.07
192602,5.01,1.73
192603,3.33,-0.86
192604,3.12,-1.01
192605,2.26,-1.67
192606,2.02,-1.68
192607,3.66,-0.25
192608,5.04,0.81
192609,2.92,-1.07
192610,4.87,1.20
192611,5.79,1.67
192612,3.62,-0.38
192701,2.93,-0.80
192702,3.08,-0.20
192703,2.00,-2.19
192704,2.43,-1.70
192705,5.23,1.30
192706,3.08,-0.62
192707,4.97,1.06
192708,7.98,3.75
192709,2.45,-1.54
192710,6.20,2.53
192711,7.46,3.34
192712,5.86,1.86
192801,2.56,-1.17
192802,4.18,0.90
192803,2.94,-1.25
192804,4.74,0.61
192805,2.15,-1.78
192806,5.75,2.05
192807,6.32,2.41
192808,6.44,2.21
192809,3.52,-0.47
192810,1.92,-1.75
192811,1.96,-2.16
192812,2.56,-1.44
192901,4.30,0.57
192902,3.66,0.38
192903,3.92,-0.27
192904,7.63,3.50
192905,4.58,0.65
192906,2.12,-1.58
192907,1.61,-2.30
192908,3.07,-1.16
192909,2.16,-1.83
192910,3.79,0.12
192911,2.96,-1.16
192912,4.12,0.12
193001,2.53,-1.20
193002,2.69,-0.59
193003,3.61,-0.58
193004,2.08,-2.05
193005,4.03,0.10
193006,4.24,0.54
193007,2.77,-1.14
193008,2.54,-1.69
193009,1.55,-2.44
193010,2.42,-1.25
193011,4.10,-0.02
193012,3.02,-0.98
193101,3.14,-0.59
193102,2.14,-1.14
193103,4.83,0.64
193104,3.18,-0.95
193105,5.86,1.93
193106,5.76,2.06
193107,3.41,-0.50
193108,4.92,0.69
193109,1.63,-2.36
193110,2.36,-1.31
193111,1.11,-3.01
193112,3.08,-0.92
193201,4.87,1.14
193202,2.28,-1.00
193203,5.00,0.81
193204,2.47,-1.66
193205,2.53,-1.40
193206,3.80,0.10
193207,3.38,-0.53
193208,5.08,0.85
193209,4.35,0.36
193210,5.90,2.23
193211,6.96,2.84
193212,1.99,-2.01
193301,2.08,-1.65
193302,4.03,0.75
193303,5.35,1.16
193304,5.50,1.37
193305,2.58,-1.35
193306,2.21,-1.49
193307,2.32,-1.59
193308,7.30,3.07
